ID,Name,Keywords,CodeString,MasterID,SpearmanCorrelation,CorrectedPvalue
654,SY_SlidingWindow_mom3_s5_10,"stationarity",SY_SlidingWindow_mom3_s5_10,381,-0.0368749316117737,1
3361,ST_LocalExtrema_l100_meanext,"distribution,stationarity",ST_LocalExtrema_l100.meanext,867,-0.0368749316117737,1
4112,SC_FluctAnal_2_dfa_50_1_logi_r1_se1,"scaling",SC_FluctAnal_2_dfa_50_1_logi.r1_se1,900,-0.0368749316117737,1
5797,PP_Compare_sin2_olbt_s5,"preprocessing,raw",PP_Compare_sin2.olbt_s5,961,-0.0368749316117737,1
1049,ST_FitPolynomial_3,"trend",ST_FitPolynomial_3,652,-0.0366560892876682,1
4918,NL_TISEAN_d2_ac_10_001_benmmind2_logminl,"nonlinear,tisean,dimension",NL_TISEAN_d2_ac_10_001.benmmind2_logminl,920,-0.0366560892876682,1
5685,PP_Compare_poly1_swss5_1,"preprocessing,raw,stationarity",PP_Compare_poly1.swss5_1,958,0.0366560892876682,1
2877,EN_Randomize_statdist_statav5hp,"entropy,slow,stationarity",EN_Randomize_statdist.statav5hp,830,-0.0364532054651331,1
741,SY_Trend_stdRatio,"stationarity",SY_Trend.stdRatio,468,-0.0364372469635628,1
1047,ST_FitPolynomial_1,"trend",ST_FitPolynomial_1,650,-0.0364372469635628,1
3021,FC_LocalSimple_mean2_meanabserr,"forecasting",FC_LocalSimple_mean2.meanabserr,834,-0.0364372469635628,1
3022,FC_LocalSimple_mean2_stderr,"forecasting",FC_LocalSimple_mean2.stderr,834,-0.0364372469635628,1
4486,SP_Summaries_welch_rect_linfitsemilog_all_a2,"FourierSpectrum",SP_Summaries_welch_rect.linfitsemilog_all_a2,909,0.0364372469635628,1
4610,SP_Summaries_fft_linfitsemilog_all_a2,"FourierSpectrum",SP_Summaries_fft.linfitsemilog_all_a2,910,0.0364372469635628,1
6300,MF_GP_hyperparameters_covSEiso_covPeriodic_covNoise_1_200_first_meanS,"model,GaussianProcess",MF_GP_hyperparameters_covSEiso_covPeriodic_covNoise_1_200_first.meanS,980,0.0364372469635628,1
1656,PH_ForcePotential_sine_1_1_1_range,"dynamicalSystem",PH_ForcePotential_sine_1_1_1.range,750,-0.0362184046394573,1
1503,SB_TransitionpAlphabet_20_ac_stdeigfexp_r2,"symbolic,transitionmat",SB_TransitionpAlphabet_20_ac.stdeigfexp_r2,740,0.0362184046394573,1
7375,MF_GARCHfit_ar_P1_Q1_stde_sbc1,"model",MF_GARCHfit_ar_P1_Q1.stde_sbc1,1032,0.0362184046394573,1
906,EN_DistributionEntropy_hist_auto_005,"entropy",EN_DistributionEntropy_hist_auto_005,547,0.0359995623153518,1
2350,FC_Surprise_T2_100_5_q_500_min,"information,symbolic",FC_Surprise_T2_100_5_q_500.min,787,0.0359995623153518,1
5831,PP_Compare_spline44_statav6,"preprocessing,raw,stationarity",PP_Compare_spline44.statav6,963,0.0359995623153518,1
1334,SB_TransitionMatrix_21_stddiag,"symbolic,transitionmat",SB_TransitionMatrix_21.stddiag,731,-0.0357826777358921,1
6487,WL_coeffs_db3_4_wb25m,"wavelet",WL_coeffs_db3_4.wb25m,993,-0.0357807199912463,1
5039,NL_BoxCorrDim_50_ac_5_meanchr14,"nonlinear,correlation,tstool,dimension",NL_BoxCorrDim_50_ac_5.meanchr14,923,0.0357807199912463,1
5375,NL_TSTL_PoincareSection_max_mi_meanpbox10,"nonlinear,tstool",NL_TSTL_PoincareSection_max_mi.meanpbox10,938,0.0357511483448195,1
973,HT_DistributionTest_chi2uni5,"hypothesistest,distribution,raw",HT_DistributionTest_chi2uni5,593,-0.0355618776671408,1
4058,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,"scaling",SC_FluctAnal_2_rsrangefit_50_1_logi.prop_r1,898,-0.0354543962887738,1
